user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy
What medical insurance provider does 37signals use in the United States?,"['Benefits & Perks\nHealth Insurance\nDetailed information about all 37signals insurance policies and other benefits can be found in Basecamp.\nMedical Insurance\nIn the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company\npays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every\nyear, with new coverage beginning December 1. Marriages and domestic partnerships are covered. Youʼre\neligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your\ncoverage will end on the last day of the month of your separation date and you may be eligible for\ncontinued coverage after that (COBRA).\nEach pay period, youʼll see a payroll deduction for medical insurance:\nEmployee-only medical coverage: $96.05\nEmployee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance', 'Benefits & Perks\nHealth Insurance\nDetailed information about all 37signals insurance policies and other benefits can be found in Basecamp.\nMedical Insurance\nIn the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company\npays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every\nyear, with new coverage beginning December 1. Marriages and domestic partnerships are covered. Youʼre\neligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your\ncoverage will end on the last day of the month of your separation date and you may be eligible for\ncontinued coverage after that (COBRA).\nEach pay period, youʼll see a payroll deduction for medical insurance:\nEmployee-only medical coverage: $96.05\nEmployee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance', ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment."", ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment.""]","In the United States, 37signals uses Blue Cross Blue Shield PPO as its medical insurance provider [Doc 1 & Doc 2]. The company pays 75% of the premium and the employee pays the other 25%.",37signals provides medical insurance through Blue Cross Blue Shield PPO in the United States.,,
How much of the medical insurance premium does 37signals pay?,"['Benefits & Perks\nHealth Insurance\nDetailed information about all 37signals insurance policies and other benefits can be found in Basecamp.\nMedical Insurance\nIn the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company\npays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every\nyear, with new coverage beginning December 1. Marriages and domestic partnerships are covered. Youʼre\neligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your\ncoverage will end on the last day of the month of your separation date and you may be eligible for\ncontinued coverage after that (COBRA).\nEach pay period, youʼll see a payroll deduction for medical insurance:\nEmployee-only medical coverage: $96.05\nEmployee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance', 'Benefits & Perks\nHealth Insurance\nDetailed information about all 37signals insurance policies and other benefits can be found in Basecamp.\nMedical Insurance\nIn the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company\npays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every\nyear, with new coverage beginning December 1. Marriages and domestic partnerships are covered. Youʼre\neligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your\ncoverage will end on the last day of the month of your separation date and you may be eligible for\ncontinued coverage after that (COBRA).\nEach pay period, youʼll see a payroll deduction for medical insurance:\nEmployee-only medical coverage: $96.05\nEmployee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance', ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment."", ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment.""]","According to doc id=""1"", 37signals pays 75% of the medical insurance premium, while the employee pays the remaining 25%. [Doc 1]","37signals pays 75% of the medical insurance premium, while the employee pays 25%.",,
When are employees eligible for health insurance coverage?,"['Benefits & Perks\nHealth Insurance\nDetailed information about all 37signals insurance policies and other benefits can be found in Basecamp.\nMedical Insurance\nIn the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company\npays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every\nyear, with new coverage beginning December 1. Marriages and domestic partnerships are covered. Youʼre\neligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your\ncoverage will end on the last day of the month of your separation date and you may be eligible for\ncontinued coverage after that (COBRA).\nEach pay period, youʼll see a payroll deduction for medical insurance:\nEmployee-only medical coverage: $96.05\nEmployee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance', 'Benefits & Perks\nHealth Insurance\nDetailed information about all 37signals insurance policies and other benefits can be found in Basecamp.\nMedical Insurance\nIn the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company\npays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every\nyear, with new coverage beginning December 1. Marriages and domestic partnerships are covered. Youʼre\neligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your\ncoverage will end on the last day of the month of your separation date and you may be eligible for\ncontinued coverage after that (COBRA).\nEach pay period, youʼll see a payroll deduction for medical insurance:\nEmployee-only medical coverage: $96.05\nEmployee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance', 'Employee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance\nDental insurance in the US is provided through MetLife. The company pays 100% of the premium. Open\nenrollment is in November every year, with new coverage beginning December 1. Marriages and domestic\npartnerships are covered equally. Youʼre eligible for coverage on your first day of employment. If you are\nterminated or resign from 37signals, your coverage will end on the last day of the month of your\nseparation date and you may be eligible for continued coverage after that (COBRA).\nVision Insurance\nVision insurance in the US is provided through MetLife. The company pays 100% of the premium. Open\nenrollment is in November every year, with new coverage beginning December 1. Marriages and domestic\npartnerships are covered equally. Youʼre eligible for coverage on your first day of employment. If you are', 'Employee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance\nDental insurance in the US is provided through MetLife. The company pays 100% of the premium. Open\nenrollment is in November every year, with new coverage beginning December 1. Marriages and domestic\npartnerships are covered equally. Youʼre eligible for coverage on your first day of employment. If you are\nterminated or resign from 37signals, your coverage will end on the last day of the month of your\nseparation date and you may be eligible for continued coverage after that (COBRA).\nVision Insurance\nVision insurance in the US is provided through MetLife. The company pays 100% of the premium. Open\nenrollment is in November every year, with new coverage beginning December 1. Marriages and domestic\npartnerships are covered equally. Youʼre eligible for coverage on your first day of employment. If you are']","According to doc id=""1"" and doc id=""2"", employees are eligible for health insurance coverage on their first day of employment [Doc 1 & Doc 2].",Employees are eligible for health insurance coverage on their first day of employment.,,0.9999999999998304
How many vacation and personal days do employees receive each year?,"['Flexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such\nas prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much\nmoney you want to put in the account, and the max is $3,300/year per person in your household. There is\na separate type of FSA for dependent care, and the max for that plan is $7,500/year or $3,750/year if you\nsplit this with a partner. This is an entirely optional program. Open enrollment is in December every year,\nwith new coverage beginning January 1. Both FSAs are through FLEX, and detail can be found in\nBasecamp.\nPaid Time Off\n37signals offers 20 days of vacation and personal days plus 11 local holidays every year. We ask that you\ntrack your time off. Your vacation time is prorated based on your start date during your first year at\n37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you', 'Flexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such\nas prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much\nmoney you want to put in the account, and the max is $3,300/year per person in your household. There is\na separate type of FSA for dependent care, and the max for that plan is $7,500/year or $3,750/year if you\nsplit this with a partner. This is an entirely optional program. Open enrollment is in December every year,\nwith new coverage beginning January 1. Both FSAs are through FLEX, and detail can be found in\nBasecamp.\nPaid Time Off\n37signals offers 20 days of vacation and personal days plus 11 local holidays every year. We ask that you\ntrack your time off. Your vacation time is prorated based on your start date during your first year at\n37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you', '37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you\nare terminated or resign from 37signals with vacation days in your bank, youʼll be paid the monetary\nequivalent for those unused days (prorated at the time of your departure). Unused holidays are not paid\nupon termination or resignation.\nSabbatical\nbeneﬁts-and-perks.md 2026-05-25\n2 / 5', '37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you\nare terminated or resign from 37signals with vacation days in your bank, youʼll be paid the monetary\nequivalent for those unused days (prorated at the time of your departure). Unused holidays are not paid\nupon termination or resignation.\nSabbatical\nbeneﬁts-and-perks.md 2026-05-25\n2 / 5']","According to doc id=""1"", 37signals offers 20 days of vacation and personal days plus 11 local holidays every year.","Employees receive 20 days of vacation and personal time off each year, plus 11 local holidays.",,
What is the maximum vacation day balance an employee can accumulate?,"['37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you\nare terminated or resign from 37signals with vacation days in your bank, youʼll be paid the monetary\nequivalent for those unused days (prorated at the time of your departure). Unused holidays are not paid\nupon termination or resignation.\nSabbatical\nbeneﬁts-and-perks.md 2026-05-25\n2 / 5', '37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you\nare terminated or resign from 37signals with vacation days in your bank, youʼll be paid the monetary\nequivalent for those unused days (prorated at the time of your departure). Unused holidays are not paid\nupon termination or resignation.\nSabbatical\nbeneﬁts-and-perks.md 2026-05-25\n2 / 5', 'Flexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such\nas prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much\nmoney you want to put in the account, and the max is $3,300/year per person in your household. There is\na separate type of FSA for dependent care, and the max for that plan is $7,500/year or $3,750/year if you\nsplit this with a partner. This is an entirely optional program. Open enrollment is in December every year,\nwith new coverage beginning January 1. Both FSAs are through FLEX, and detail can be found in\nBasecamp.\nPaid Time Off\n37signals offers 20 days of vacation and personal days plus 11 local holidays every year. We ask that you\ntrack your time off. Your vacation time is prorated based on your start date during your first year at\n37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you', 'Flexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such\nas prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much\nmoney you want to put in the account, and the max is $3,300/year per person in your household. There is\na separate type of FSA for dependent care, and the max for that plan is $7,500/year or $3,750/year if you\nsplit this with a partner. This is an entirely optional program. Open enrollment is in December every year,\nwith new coverage beginning January 1. Both FSAs are through FLEX, and detail can be found in\nBasecamp.\nPaid Time Off\n37signals offers 20 days of vacation and personal days plus 11 local holidays every year. We ask that you\ntrack your time off. Your vacation time is prorated based on your start date during your first year at\n37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you']","According to doc id=""3"" [Doc 3], the maximum vacation day balance an employee can accumulate is 27 days at any time.",Vacation time can roll over year to year with a maximum bank of 27 days.,,0.9999999999998521
How often can employees take a paid sabbatical?,"['In addition to annual PTO and holidays, every three years employees may take a 6-week paid sabbatical.\nGive your team a heads-up, preferably three months in advance, so they can coordinate. If youʼre\nterminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary\nequivalent of those unused days only if your unused sabbatical was earned within the previous 12\nmonths.\nPaid Sick Time\nWe donʼt offer a bank of sick days, nor do we ask you to track your sick days. When youʼre sick, please\nnotify your manager as soon as you know youʼll be out, and for how long you expect to be out.\nIf youʼll be away from work due to illness or injury for more than 7 consecutive work days, you may be\nrequired to file a short-term disability claim.\n37signals does not pay out for unused sick time upon resignation or termination.\nYour manager will check in with you if youʼre taking frequent unplanned sick days. Excessive use of sick', 'In addition to annual PTO and holidays, every three years employees may take a 6-week paid sabbatical.\nGive your team a heads-up, preferably three months in advance, so they can coordinate. If youʼre\nterminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary\nequivalent of those unused days only if your unused sabbatical was earned within the previous 12\nmonths.\nPaid Sick Time\nWe donʼt offer a bank of sick days, nor do we ask you to track your sick days. When youʼre sick, please\nnotify your manager as soon as you know youʼll be out, and for how long you expect to be out.\nIf youʼll be away from work due to illness or injury for more than 7 consecutive work days, you may be\nrequired to file a short-term disability claim.\n37signals does not pay out for unused sick time upon resignation or termination.\nYour manager will check in with you if youʼre taking frequent unplanned sick days. Excessive use of sick', 'Thatʼs fine as long as it doesnʼt involve multiple days off for travel (unless you use your own\npersonal vacation time against this travel time).\n3. A side business thatʼs different from your day job, as long as the commitment is only a few hours a\nweek. If you come to work exhausted because youʼre trying to start a full-time business on the\nside, itʼs going to impact your performance here.\n4. Serve as an advisor for another company, or be on a board, as long as thereʼs no conflict of\ninterest. The time commitment must be under a few hours a month. And if thereʼs a scheduling\nconflict, 37signals gets priority.\n5. Do volunteer or occasional pro-bono work for a cause youʼre actively involved with. A little work\nhere and there is fine, but, for example, becoming an organizationʼs full-time web designer and\nbeing on the hook to work during your standard work day, etc, would not be OK.\nNot OK', 'them, as you go.\nYou\'ll have formal performance reviews with your manager at the 3-, 6-, and 12-month marks. On\noccasion, despite our collective best efforts, itʼs not a fit. We donʼt do full-scale performance\nimprovement plans during the first year. So if during that time it starts looking like your long-term\nemployment wonʼt work out, your manager will let you know early and why.\nBy the time you\'ve reached your 1st anniversary with the company, we expect to be as excited about\nworking with you as we were on day one. Likewise you should consider if you feel the same about having\njoined the team. When both of those answers are ""hell yeah!"", you\'ll move into a less frequent\nperformance review cycle. Just once a year, around your anniversary of joining the company.\nYour first year with 37signals should confirm what we learned in the hiring phase — youʼre well suited for\nthis job, and youʼre invigorated by the work to be done. Just put in your best effort, make sure you reach']","According to doc id=""1"" and doc id=""2"", every three years, employees are entitled to take a 6-week paid sabbatical [Doc 1 & Doc 2].",Employees may take a six-week paid sabbatical every three years.,,
Does 37signals provide a bank of sick days?,"['In addition to annual PTO and holidays, every three years employees may take a 6-week paid sabbatical.\nGive your team a heads-up, preferably three months in advance, so they can coordinate. If youʼre\nterminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary\nequivalent of those unused days only if your unused sabbatical was earned within the previous 12\nmonths.\nPaid Sick Time\nWe donʼt offer a bank of sick days, nor do we ask you to track your sick days. When youʼre sick, please\nnotify your manager as soon as you know youʼll be out, and for how long you expect to be out.\nIf youʼll be away from work due to illness or injury for more than 7 consecutive work days, you may be\nrequired to file a short-term disability claim.\n37signals does not pay out for unused sick time upon resignation or termination.\nYour manager will check in with you if youʼre taking frequent unplanned sick days. Excessive use of sick', 'In addition to annual PTO and holidays, every three years employees may take a 6-week paid sabbatical.\nGive your team a heads-up, preferably three months in advance, so they can coordinate. If youʼre\nterminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary\nequivalent of those unused days only if your unused sabbatical was earned within the previous 12\nmonths.\nPaid Sick Time\nWe donʼt offer a bank of sick days, nor do we ask you to track your sick days. When youʼre sick, please\nnotify your manager as soon as you know youʼll be out, and for how long you expect to be out.\nIf youʼll be away from work due to illness or injury for more than 7 consecutive work days, you may be\nrequired to file a short-term disability claim.\n37signals does not pay out for unused sick time upon resignation or termination.\nYour manager will check in with you if youʼre taking frequent unplanned sick days. Excessive use of sick', 'Flexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such\nas prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much\nmoney you want to put in the account, and the max is $3,300/year per person in your household. There is\na separate type of FSA for dependent care, and the max for that plan is $7,500/year or $3,750/year if you\nsplit this with a partner. This is an entirely optional program. Open enrollment is in December every year,\nwith new coverage beginning January 1. Both FSAs are through FLEX, and detail can be found in\nBasecamp.\nPaid Time Off\n37signals offers 20 days of vacation and personal days plus 11 local holidays every year. We ask that you\ntrack your time off. Your vacation time is prorated based on your start date during your first year at\n37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you', ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment.""]","According to doc id=""1"" and doc id=""2"", 37signals does not offer a bank of sick days, nor do they ask employees to track their sick days. When an employee is sick, they should notify their manager as soon as possible and for how long they expect to be out [Doc 1 & Doc 2].",No. 37signals does not provide a bank of sick days and does not require employees to track sick days.,,0.906748294049371
What are the summer work hours at 37signals?,"['Your manager will check in with you if youʼre taking frequent unplanned sick days. Excessive use of sick\ntime may result in disciplinary measures. If you have a medical condition that you know will take you away\nfrom work regularly, please work with your People Ops team and your manager.\nSummer Hours\nWe work 4-day work weeks from May 1 through August 31 every year. An employee who has just been\nhired may have to complete a training program, designated by their team lead, to be eligible. When a\nholiday occurs during summer hours, you can take the holiday off or your normal summer day off. Any\nadditional days off count as vacation days.\nScheduling Time Off\n37signals doesnʼt have a formal time off request process. Itʼs your responsibility to work with your\nmanager and team to ensure coverage and manage your scheduled workload. The sooner you can inform\nyour manager and team of your planned absence, the better, especially longer absences like sabbatical', 'Your manager will check in with you if youʼre taking frequent unplanned sick days. Excessive use of sick\ntime may result in disciplinary measures. If you have a medical condition that you know will take you away\nfrom work regularly, please work with your People Ops team and your manager.\nSummer Hours\nWe work 4-day work weeks from May 1 through August 31 every year. An employee who has just been\nhired may have to complete a training program, designated by their team lead, to be eligible. When a\nholiday occurs during summer hours, you can take the holiday off or your normal summer day off. Any\nadditional days off count as vacation days.\nScheduling Time Off\n37signals doesnʼt have a formal time off request process. Itʼs your responsibility to work with your\nmanager and team to ensure coverage and manage your scheduled workload. The sooner you can inform\nyour manager and team of your planned absence, the better, especially longer absences like sabbatical', ""How We Work\nRemotely\n37signals is a fully distributed company. Our team works from all over the world, across 5 continents. We\ndon't care where employees choose to live and work, just that they're here to do great work on\nexceptional products, alongside a world-class team. Weʼve been remote since we started, and our\nfounders literally wrote the book on the subject.\nYou can work from anywhere, but please be sure to inform your People Ops team when you move –\nespecially across state or country borders. It may affect your or the companyʼs tax situation.\nCycles\nWe work in 6-week cycles at 37signals. This fixed cadence serves to give us an internal sense of urgency,\nto keep projects from ballooning, and to provide us with a regular interval to make decisions about what\nweʼre working on.\nOur cycle structure is particularly important for the product teams, since they approach feature and\nproduct development with scope and budget in mind up front. For more on this, all employees are"", ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment.""]","According to doc id=""1"" and doc id=""2"", 37signals works a 4-day work week from May 1 through August 31 every year, also known as Summer Hours [Doc 1 & Doc 2]. During this period, employees can take holiday days off or their normal summer day off. Any additional days off count as vacation days [Doc 1 & Doc 2].",Employees work four-day work weeks from May 1 through August 31 each year.,,
How much parental leave can a primary caregiver receive?,"['your manager and team of your planned absence, the better, especially longer absences like sabbatical\nor long vacations. If your team has a defined process for scheduling time off, please follow that first.\nFamily Leave\nIf you become the primary caregiver of a child, you can take up to 16 weeks leave at 100% pay. If you\nbecome the secondary caregiver of a new child, you can take up to 6 weeks leave at 100% pay. You may\nchoose to take an additional unpaid leave as the primary or secondary caregiver. All parental leave must\nbe taken within the first year of the childʼs birth or placement.\nSome states offer additional benefits to their residents.\nBereavement Leave\nWhen you lose a loved one, you can take paid time off from work for bereavement, making arrangements,\nsettling family affairs, and attending the funeral or memorial service. Let your manager know your plans\nas soon as you can so they can arrange for your absence.', 'your manager and team of your planned absence, the better, especially longer absences like sabbatical\nor long vacations. If your team has a defined process for scheduling time off, please follow that first.\nFamily Leave\nIf you become the primary caregiver of a child, you can take up to 16 weeks leave at 100% pay. If you\nbecome the secondary caregiver of a new child, you can take up to 6 weeks leave at 100% pay. You may\nchoose to take an additional unpaid leave as the primary or secondary caregiver. All parental leave must\nbe taken within the first year of the childʼs birth or placement.\nSome states offer additional benefits to their residents.\nBereavement Leave\nWhen you lose a loved one, you can take paid time off from work for bereavement, making arrangements,\nsettling family affairs, and attending the funeral or memorial service. Let your manager know your plans\nas soon as you can so they can arrange for your absence.', 'CA-PFL does not provide job protection, only monetary benefits, up to 8 weeks.\nPaid Family Leave for Caregivers to care for a seriously ill or injured family member. CA-PFL does\nnot provide job protection, only monetary benefits, up to 8 weeks.\nColorado Medical and Family Leave\nResidents of Colorado may be eligible for continuous or intermittent leave to care for themselves, a\nchild, or other family member. CO-PMFL programs provide job protection and monetary benefits.\nPaid Family Leave for Bonding with a new baby or after the placement of an adopted or foster child,\nup to 16 weeks.\nPaid Family Leave for Family Care to care for a seriously ill or injured family member, up to 12\nweeks.\nPaid Family Leave for Self to manage your own serious health condition, up to 12 weeks.\nPaid Family Leave for Military Families to manage arrangements when an immediate family member\nis called to active service in a foreign country, up to 12 weeks.', 'be deployed on active duty, up to 12 weeks per benefit year, or to care for a family member who is\nservice personnel with a serious health condition, up to 26 weeks per benefit year.\nNew Jersey Medical and Family Leave\nResidents of New Jersey may be eligible for continuous or intermittent leave to care for\nthemselves, a child, or other family member.\nTemporary Disability Insurance to manage your own physical or mental health condition unrelated\nto your work (including pregnancy and childbirth recovery). Temporary Disability Insurance\nprovides monetary benefits but not job protection, up to 26 weeks.\nMaternity Coverage, which may be comprised of two programs: Temporary Disability for expectant\nmothers when they need to stop working before and after giving birth; and Family Leave Insurance\nfor newborn bonding. Together, these programs may provide up to 24 weeks of monetary benefits;\njob protection may be available under other laws.']","According to doc id=""1"" and doc id=""3"", if you become the primary caregiver of a child, you can take up to 16 weeks leave at 100% pay [Doc 1]. Additionally, CA-PFL does not provide job protection, only monetary benefits, up to 8 weeks for caregivers to care for a seriously ill or injured family member [Doc 3].",A primary caregiver can take up to 16 weeks of leave at 100% pay.,,
How much parental leave can a secondary caregiver receive?,"['your manager and team of your planned absence, the better, especially longer absences like sabbatical\nor long vacations. If your team has a defined process for scheduling time off, please follow that first.\nFamily Leave\nIf you become the primary caregiver of a child, you can take up to 16 weeks leave at 100% pay. If you\nbecome the secondary caregiver of a new child, you can take up to 6 weeks leave at 100% pay. You may\nchoose to take an additional unpaid leave as the primary or secondary caregiver. All parental leave must\nbe taken within the first year of the childʼs birth or placement.\nSome states offer additional benefits to their residents.\nBereavement Leave\nWhen you lose a loved one, you can take paid time off from work for bereavement, making arrangements,\nsettling family affairs, and attending the funeral or memorial service. Let your manager know your plans\nas soon as you can so they can arrange for your absence.', 'your manager and team of your planned absence, the better, especially longer absences like sabbatical\nor long vacations. If your team has a defined process for scheduling time off, please follow that first.\nFamily Leave\nIf you become the primary caregiver of a child, you can take up to 16 weeks leave at 100% pay. If you\nbecome the secondary caregiver of a new child, you can take up to 6 weeks leave at 100% pay. You may\nchoose to take an additional unpaid leave as the primary or secondary caregiver. All parental leave must\nbe taken within the first year of the childʼs birth or placement.\nSome states offer additional benefits to their residents.\nBereavement Leave\nWhen you lose a loved one, you can take paid time off from work for bereavement, making arrangements,\nsettling family affairs, and attending the funeral or memorial service. Let your manager know your plans\nas soon as you can so they can arrange for your absence.', 'CA-PFL does not provide job protection, only monetary benefits, up to 8 weeks.\nPaid Family Leave for Caregivers to care for a seriously ill or injured family member. CA-PFL does\nnot provide job protection, only monetary benefits, up to 8 weeks.\nColorado Medical and Family Leave\nResidents of Colorado may be eligible for continuous or intermittent leave to care for themselves, a\nchild, or other family member. CO-PMFL programs provide job protection and monetary benefits.\nPaid Family Leave for Bonding with a new baby or after the placement of an adopted or foster child,\nup to 16 weeks.\nPaid Family Leave for Family Care to care for a seriously ill or injured family member, up to 12\nweeks.\nPaid Family Leave for Self to manage your own serious health condition, up to 12 weeks.\nPaid Family Leave for Military Families to manage arrangements when an immediate family member\nis called to active service in a foreign country, up to 12 weeks.', 'be deployed on active duty, up to 12 weeks per benefit year, or to care for a family member who is\nservice personnel with a serious health condition, up to 26 weeks per benefit year.\nNew Jersey Medical and Family Leave\nResidents of New Jersey may be eligible for continuous or intermittent leave to care for\nthemselves, a child, or other family member.\nTemporary Disability Insurance to manage your own physical or mental health condition unrelated\nto your work (including pregnancy and childbirth recovery). Temporary Disability Insurance\nprovides monetary benefits but not job protection, up to 26 weeks.\nMaternity Coverage, which may be comprised of two programs: Temporary Disability for expectant\nmothers when they need to stop working before and after giving birth; and Family Leave Insurance\nfor newborn bonding. Together, these programs may provide up to 24 weeks of monetary benefits;\njob protection may be available under other laws.']","According to doc id=""1"" and doc id=""2"", if you become the secondary caregiver of a new child, you can take up to 6 weeks leave at 100% pay [Doc 1 & Doc 2].",A secondary caregiver can take up to 6 weeks of leave at 100% pay.,,
